Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Recall 1,Recall 2,Recall 3,Recall 4,Recall 5,Recall 6,Recall 7,Recall 8,Recall 9,Recall 10
HU02,gemini,clases,rouge2,0.25,0.333,0.333,0.25,0.333,0.333,0.333,0.25,0.333,0.25
HU02,gemini,clases,rougeL,0.692,0.692,0.692,0.692,0.769,0.846,0.769,0.692,0.769,0.769
HU02,claude,clases,rouge1,0.769,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692
HU02,claude,clases,rouge2,0.25,0.333,0.333,0.333,0.333,0.333,0.25,0.25,0.333,0.333
HU02,claude,clases,rougeL,0.615,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692
HU02,gpt,clases,rouge1,0.692,0.692,0.615,0.615,0.615,0.615,0.615,0.692,0.692,0.615
HU02,gpt,clases,rouge2,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167
HU02,gpt,clases,rougeL,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
HU02,mistral,clases,rouge1,0.538,0.615,0.538,0.615,0.538,0.615,,0.615,0.538,0.538
HU02,mistral,clases,rouge2,0.167,0.333,0.167,0.25,0.167,0.167,,0.25,0.167,0.167
HU02,mistral,clases,rougeL,0.462,0.615,0.462,0.615,0.462,0.462,,0.615,0.462,0.462
HU03,llama,clases,rouge1,0.609,0.739,,,0.739,0.609,0.739,0.565,0.609,0.739
HU03,llama,clases,rouge2,0.273,0.227,,,0.318,0.182,0.318,0.182,0.227,0.273
HU03,llama,clases,rougeL,0.609,0.609,,,0.565,0.609,0.652,0.522,0.522,0.522
HU03,deepseek,clases,rouge1,0.609,0.739,0.478,0.565,0.522,0.522,0.609,0.696,0.348,0.522
HU03,deepseek,clases,rouge2,0.227,0.318,0.182,0.227,0.273,0.182,0.136,0.273,0.091,0.182
HU03,deepseek,clases,rougeL,0.435,0.522,0.348,0.478,0.478,0.435,0.435,0.565,0.348,0.478
HU03,gemini,clases,rouge1,0.652,0.739,0.739,0.739,0.783,0.696,0.652,0.783,0.783,0.696
HU03,gemini,clases,rouge2,0.318,0.273,0.182,0.364,0.364,0.182,0.364,0.364,0.364,0.364
HU03,gemini,clases,rougeL,0.609,0.739,0.696,0.739,0.783,0.565,0.652,0.783,0.783,0.696
HU03,claude,clases,rouge1,0.783,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.696
HU03,claude,clases,rouge2,0.318,0.409,0.318,0.318,0.318,0.364,0.364,0.364,0.409,0.318
HU03,claude,clases,rougeL,0.739,0.696,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.696
HU03,gpt,clases,rouge1,0.783,0.609,0.739,0.739,0.783,0.739,0.609,0.739,0.739,0.739
HU03,gpt,clases,rouge2,0.364,0.273,0.364,0.227,0.318,0.182,0.227,0.227,0.273,0.409
HU03,gpt,clases,rougeL,0.609,0.565,0.696,0.609,0.783,0.609,0.565,0.609,0.652,0.739
HU03,mistral,clases,rouge1,0.652,0.565,0.435,0.391,0.565,0.652,0.217,0.522,0.565,0.565
HU03,mistral,clases,rouge2,0.182,0.227,0.227,0.045,0.273,0.364,0.045,0.364,0.273,0.227
HU03,mistral,clases,rougeL,0.522,0.478,0.391,0.304,0.435,0.522,0.217,0.522,0.522,0.522
HU04,llama,clases,rouge1,0.63,0.481,,0.519,0.481,,0.667,0.519,0.481,0.481
HU04,llama,clases,rouge2,0.231,0.154,,0.192,0.154,,0.231,0.154,0.154,0.192
HU04,llama,clases,rougeL,0.519,0.407,,0.407,0.481,,0.63,0.407,0.407,0.444
HU04,deepseek,clases,rouge1,0.704,0.37,0.481,0.704,0.63,0.556,0.63,0.667,0.519,0.593
HU04,deepseek,clases,rouge2,0.231,0.077,0.115,0.308,0.154,0.077,0.154,0.154,0.269,0.115
HU04,deepseek,clases,rougeL,0.556,0.259,0.481,0.63,0.519,0.481,0.556,0.556,0.481,0.444
HU04,gemini,clases,rouge1,0.778,0.667,0.63,0.741,0.741,0.667,0.741,0.741,0.741,0.741
HU04,gemini,clases,rouge2,0.346,0.269,0.231,0.346,0.308,0.269,0.269,0.308,0.308,0.346
HU04,gemini,clases,rougeL,0.741,0.667,0.593,0.704,0.704,0.667,0.741,0.741,0.741,0.667
HU04,claude,clases,rouge1,0.741,0.704,0.704,0.704,0.704,0.704,0.63,0.63,0.704,0.667
HU04,claude,clases,rouge2,0.231,0.269,0.231,0.231,0.231,0.269,0.231,0.231,0.231,0.269
HU04,claude,clases,rougeL,0.704,0.667,0.667,0.667,0.667,0.667,0.63,0.63,0.667,0.63
HU04,gpt,clases,rouge1,0.556,0.741,0.667,0.519,0.556,0.667,0.741,0.519,0.444,0.556
HU04,gpt,clases,rouge2,0.154,0.269,0.154,0.192,0.154,0.231,0.269,0.154,0.115,0.154
HU04,gpt,clases,rougeL,0.519,0.704,0.481,0.444,0.519,0.63,0.63,0.481,0.407,0.481
HU04,mistral,clases,rouge1,0.444,0.593,0.741,0.63,0.704,0.741,0.741,0.63,0.556,0.63
HU04,mistral,clases,rouge2,0.154,0.269,0.308,0.231,0.231,0.231,0.231,0.154,0.154,0.192
HU04,mistral,clases,rougeL,0.37,0.556,0.667,0.556,0.556,0.481,0.63,0.444,0.444,0.407
HU05,llama,clases,rouge1,0.286,0.286,0.357,0.5,,0.429,0.286,0.5,,0.286
HU05,llama,clases,rouge2,0.077,0.077,0.077,0.077,,0.077,0.077,0.077,,0.077
HU05,llama,clases,rougeL,0.286,0.286,0.286,0.429,,0.429,0.286,0.5,,0.286
HU05,deepseek,clases,rouge1,0.5,0.571,0.571,0.429,0.643,0.357,0.5,0.5,0.286,0.429
HU05,deepseek,clases,rouge2,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077
HU05,deepseek,clases,rougeL,0.429,0.5,0.429,0.429,0.571,0.357,0.429,0.429,0.286,0.429
HU05,gemini,clases,rouge1,0.714,0.643,0.643,0.571,0.714,0.643,0.929,0.643,0.643,0.571
HU05,gemini,clases,rouge2,0.308,0.231,0.231,0.231,0.231,0.231,0.308,0.231,0.308,0.231
HU05,gemini,clases,rougeL,0.714,0.643,0.571,0.571,0.714,0.643,0.929,0.643,0.643,0.571
HU05,claude,clases,rouge1,0.571,0.643,0.786,0.786,0.786,0.571,0.571,0.571,0.643,0.643
HU05,claude,clases,rouge2,0.077,0.077,0.231,0.231,0.231,0.077,0.077,0.077,0.077,0.077
HU05,claude,clases,rougeL,0.5,0.571,0.643,0.643,0.643,0.5,0.5,0.5,0.5,0.571
HU05,gpt,clases,rouge1,0.429,0.429,0.5,0.5,0.5,0.429,0.571,0.429,0.5,0.357
HU05,gpt,clases,rouge2,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077
HU05,gpt,clases,rougeL,0.357,0.429,0.429,0.429,0.429,0.357,0.5,0.429,0.429,0.357
HU05,mistral,clases,rouge1,0.429,0.429,0.357,0.286,0.429,0.429,0.357,0.214,0.214,0.286
HU05,mistral,clases,rouge2,0.077,0,0,0,0,0,0,0,0,0
HU05,mistral,clases,rougeL,0.357,0.429,0.357,0.286,0.429,0.429,0.357,0.214,0.214,0.286
HU06,llama,clases,rouge1,0.286,0.214,0.321,0.393,0.429,0.357,,0.321,,0.393
HU06,llama,clases,rouge2,0.037,0.037,0.074,0.148,0.148,0.148,,0.111,,0.148
HU06,llama,clases,rougeL,0.286,0.214,0.321,0.357,0.357,0.321,,0.286,,0.357
HU06,deepseek,clases,rouge1,0.286,0.357,0.286,0.214,0.25,,0.25,0.214,0.25,0.321
HU06,deepseek,clases,rouge2,0.111,0.111,0.037,0.037,0.037,,0.037,0.037,0.037,0.037
HU06,deepseek,clases,rougeL,0.286,0.357,0.25,0.214,0.214,,0.214,0.214,0.214,0.286
HU06,gemini,clases,rouge1,0.25,0.464,0.25,0.429,0.429,0.286,0.25,0.464,0.429,0.464
HU06,gemini,clases,rouge2,0.037,0.148,0.037,0.148,0.148,0,0.037,0.185,0.148,0.148
HU06,gemini,clases,rougeL,0.25,0.393,0.25,0.393,0.393,0.286,0.25,0.393,0.393,0.393
HU06,claude,clases,rouge1,0.357,0.393,0.357,0.357,0.357,0.393,0.393,0.393,0.393,0.393
HU06,claude,clases,rouge2,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
HU06,claude,clases,rougeL,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321
HU06,gpt,clases,rouge1,0.321,0.357,0.393,0.321,0.25,0.321,0.464,0.5,0.25,0.321
HU06,gpt,clases,rouge2,0.037,0.037,0.074,0.037,0.037,0.037,0.148,0.185,0.074,0.037
HU06,gpt,clases,rougeL,0.286,0.286,0.286,0.286,0.25,0.286,0.357,0.393,0.25,0.25
HU06,mistral,clases,rouge1,0.464,0.393,0.393,0.357,0.321,0.214,0.393,0.357,0.25,0.393
HU06,mistral,clases,rouge2,0.148,0.074,0.074,0.111,0.037,0.037,0.111,0.111,0.037,0.148
HU06,mistral,clases,rougeL,0.393,0.321,0.321,0.357,0.286,0.214,0.321,0.25,0.214,0.357
HU07,llama,clases,rouge1,0.5,0.5,0.5,,0.5,0.333,0.5,0.5,0.5,0.5
HU07,llama,clases,rouge2,0.235,0.235,0.235,,0.235,0.118,0.235,0.235,0.235,0.235
HU07,llama,clases,rougeL,0.5,0.5,0.444,,0.5,0.333,0.5,0.5,0.444,0.5
HU07,deepseek,clases,rouge1,0.5,0.611,0.5,0.611,0.611,0.556,0.556,0.611,0.5,0.556
HU07,deepseek,clases,rouge2,0.118,0.235,0.176,0.176,0.235,0.235,0.235,0.235,0.235,0.294
HU07,deepseek,clases,rougeL,0.5,0.556,0.5,0.556,0.5,0.556,0.5,0.611,0.5,0.556
HU07,gemini,clases,rouge1,0.611,0.611,0.611,0.556,0.611,0.611,0.611,0.611,0.611,0.611
HU07,gemini,clases,rouge2,0.176,0.176,0.235,0.176,0.176,0.235,0.176,0.176,0.176,0.176
HU07,gemini,clases,rougeL,0.556,0.556,0.556,0.5,0.556,0.556,0.5,0.556,0.556,0.611
HU07,claude,clases,rouge1,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611
HU07,claude,clases,rouge2,0.235,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176
HU07,claude,clases,rougeL,0.611,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556
HU07,gpt,clases,rouge1,0.556,0.611,0.611,0.556,0.444,0.611,0.611,0.444,0.444,0.556
HU07,gpt,clases,rouge2,0.235,0.235,0.235,0.235,0.235,0.235,0.294,0.176,0.176,0.235
HU07,gpt,clases,rougeL,0.5,0.5,0.611,0.444,0.444,0.611,0.611,0.444,0.444,0.444
HU07,mistral,clases,rouge1,0.444,0.444,0.5,0.611,0.333,0.556,0.556,0.444,,0.333
HU07,mistral,clases,rouge2,0.118,0.059,0.235,0.176,0,0.235,0.235,0.118,,0.059
HU07,mistral,clases,rougeL,0.389,0.389,0.5,0.5,0.333,0.556,0.5,0.333,,0.333
HU08,llama,clases,rouge1,0.371,0.457,0.457,0.457,0.4,0.343,0.486,0.4,0.429,0.4
HU08,llama,clases,rouge2,0.118,0.118,0.176,0.176,0.176,0.118,0.235,0.147,0.118,0.147
HU08,llama,clases,rougeL,0.371,0.343,0.371,0.371,0.371,0.343,0.429,0.371,0.4,0.343
HU08,deepseek,clases,rouge1,0.314,0.429,0.514,0.314,0.514,0.543,0.629,0.457,0.4,0.4
HU08,deepseek,clases,rouge2,0.088,0.147,0.176,0.088,0.176,0.206,0.235,0.147,0.118,0.118
HU08,deepseek,clases,rougeL,0.286,0.371,0.429,0.286,0.371,0.486,0.543,0.429,0.343,0.371
HU08,gemini,clases,rouge1,0.771,0.657,0.514,0.829,0.714,0.686,0.8,0.686,0.6,0.657
HU08,gemini,clases,rouge2,0.441,0.294,0.206,0.471,0.353,0.353,0.529,0.324,0.206,0.294
HU08,gemini,clases,rougeL,0.686,0.543,0.457,0.743,0.543,0.571,0.686,0.6,0.514,0.543
HU08,claude,clases,rouge1,0.857,0.657,0.657,0.657,0.657,0.629,0.657,0.657,0.629,0.657
HU08,claude,clases,rouge2,0.5,0.294,0.265,0.265,0.265,0.294,0.265,0.265,0.294,0.353
HU08,claude,clases,rougeL,0.743,0.514,0.514,0.514,0.514,0.486,0.514,0.514,0.486,0.514
HU08,gpt,clases,rouge1,0.571,0.714,0.4,0.514,0.743,0.543,0.6,0.6,0.629,0.6
HU08,gpt,clases,rouge2,0.147,0.294,0.118,0.147,0.353,0.147,0.265,0.206,0.206,0.206
HU08,gpt,clases,rougeL,0.486,0.629,0.314,0.457,0.6,0.514,0.514,0.457,0.514,0.514
HU08,mistral,clases,rouge1,0.371,0.371,0.314,0.371,0.429,0.314,0.571,0.4,0.457,0.457
HU08,mistral,clases,rouge2,0.088,0.118,0.088,0.088,0.147,0.088,0.206,0.029,0.118,0.118
HU08,mistral,clases,rougeL,0.314,0.343,0.257,0.343,0.429,0.257,0.514,0.343,0.429,0.4
HU09,llama,clases,rouge1,0.447,,0.474,0.474,0.447,,0.474,0.553,,0.5
HU09,llama,clases,rouge2,0.216,,0.27,0.162,0.243,,0.27,0.297,,0.27
HU09,llama,clases,rougeL,0.316,,0.395,0.395,0.421,,0.421,0.447,,0.421
HU09,deepseek,clases,rouge1,0.447,0.789,0.737,0.605,0.421,0.684,0.579,0.395,0.579,0.658
HU09,deepseek,clases,rouge2,0.216,0.243,0.297,0.216,0.162,0.324,0.216,0.243,0.324,0.243
HU09,deepseek,clases,rougeL,0.395,0.632,0.579,0.474,0.368,0.553,0.447,0.342,0.553,0.5
HU09,gemini,clases,rouge1,0.895,0.816,0.789,0.816,0.789,0.895,0.789,0.789,0.789,0.789
HU09,gemini,clases,rouge2,0.595,0.486,0.432,0.459,0.378,0.568,0.459,0.459,0.541,0.486
HU09,gemini,clases,rougeL,0.789,0.684,0.684,0.684,0.605,0.789,0.632,0.684,0.684,0.684
HU09,claude,clases,rouge1,0.684,0.816,0.789,0.789,0.789,0.789,0.789,0.789,0.816,0.526
HU09,claude,clases,rouge2,0.351,0.486,0.486,0.486,0.486,0.459,0.486,0.486,0.514,0.297
HU09,claude,clases,rougeL,0.526,0.632,0.658,0.658,0.658,0.658,0.658,0.658,0.632,0.421
HU09,gpt,clases,rouge1,0.789,0.658,0.711,0.763,0.763,0.763,0.632,0.658,0.763,0.605
HU09,gpt,clases,rouge2,0.568,0.378,0.405,0.405,0.514,0.432,0.324,0.351,0.378,0.324
HU09,gpt,clases,rougeL,0.684,0.526,0.474,0.632,0.632,0.658,0.421,0.605,0.605,0.474
HU09,mistral,clases,rouge1,0.684,0.711,0.763,0.553,0.632,0.737,0.605,0.605,0.632,0.632
HU09,mistral,clases,rouge2,0.405,0.378,0.459,0.27,0.27,0.432,0.297,0.27,0.351,0.324
HU09,mistral,clases,rougeL,0.553,0.605,0.605,0.474,0.5,0.658,0.5,0.5,0.526,0.526
HU10,llama,clases,rouge1,0.333,0.282,0.308,0.282,,0.256,0.436,0.256,0.256,0.256
HU10,llama,clases,rouge2,0.132,0.053,0.053,0.079,,0.079,0.211,0.079,0.079,0.079
HU10,llama,clases,rougeL,0.308,0.256,0.282,0.256,,0.256,0.385,0.256,0.256,0.256
HU10,deepseek,clases,rouge1,0.154,0.256,0.154,0.282,0.359,,0.205,0.103,0.256,0.231
HU10,deepseek,clases,rouge2,0.026,0.079,0.026,0.105,0.132,,0.105,0.026,0.079,0.053
HU10,deepseek,clases,rougeL,0.154,0.256,0.154,0.231,0.308,,0.179,0.103,0.205,0.231
HU10,gemini,clases,rouge1,0.462,0.615,0.513,0.513,0.359,0.513,0.641,0.462,0.59,0.59
HU10,gemini,clases,rouge2,0.053,0.132,0.132,0.105,0.105,0.105,0.132,0.105,0.158,0.158
HU10,gemini,clases,rougeL,0.333,0.513,0.462,0.333,0.308,0.333,0.436,0.41,0.513,0.436
HU10,claude,clases,rouge1,0.564,0.641,0.641,0.641,0.641,0.59,0.641,0.641,0.513,0.615
HU10,claude,clases,rouge2,0.132,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.079,0.105
HU10,claude,clases,rougeL,0.513,0.436,0.462,0.462,0.462,0.462,0.462,0.462,0.41,0.462
HU10,gpt,clases,rouge1,0.256,0.282,0.282,0.282,0.256,0.282,0.282,0.308,0.256,0.436
HU10,gpt,clases,rouge2,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.105,0.053,0.132
HU10,gpt,clases,rougeL,0.231,0.231,0.256,0.256,0.231,0.256,0.282,0.282,0.231,0.359
HU10,mistral,clases,rouge1,0.282,0.436,0.333,0.359,0.333,0.359,0.385,0.308,0.308,0.308
HU10,mistral,clases,rouge2,0.079,0.105,0.079,0.132,0.105,0.053,0.105,0.079,0.079,0.105
HU10,mistral,clases,rougeL,0.231,0.333,0.282,0.282,0.256,0.308,0.308,0.282,0.282,0.308
